id,product_type_id,field_name,display_name,attribute_group,required,order_index,description,selected_value,custom_value
252,2,contribution_sku#1.value,SKU,Listing Identity,1,0,,,
253,2,::record_action,Listing Action,Listing Identity,1,1,,Create or Replace (Full Update),
254,2,product_type#1.value,Product Type,Product Identity,1,2,,INSTRUMENT_PARTS_AND_ACCESSORIES,
255,2,item_name[marketplace_id=ATVPDKIKX0DER][language_tag=en_US]#1.value,Item Name,Product Identity,1,3,,,"Gig Gear Cover for [MANUFACTURER_NAME] [SERIES_NAME] [MODEL_NAME] [EQUIPMENT_TYPE] | Genuine Waterproof Cordura or Synthetic Leather Fabric | Select Color, Padding & Pocket Options | Made in US"
256,2,brand[marketplace_id=ATVPDKIKX0DER][language_tag=en_US]#1.value,Brand Name,Product Identity,1,4,,Gig Gear Covers,
257,2,amzn1.volt.ca.product_id_type,Product Id Type,Product Identity,1,5,,GTIN Exempt,
258,2,amzn1.volt.ca.product_id_value,Product Id,Product Identity,0,6,,,
259,2,item_type_keyword[marketplace_id=ATVPDKIKX0DER]#1.value,Item Type Keyword,Product Identity,1,7,,"Musical Instruments > Instrument Accessories > Keyboard Accessories > Bags, Cases & Covers (piano-and-keyboard-cases-and-covers)",
260,2,package_level[marketplace_id=ATVPDKIKX0DER]#1.value,Package Level,Product Identity,0,8,,,
261,2,package_contains_sku[marketplace_id=ATVPDKIKX0DER]#1.quantity,Package Contains SKU Quantity,Product Identity,0,9,,,
262,2,package_contains_sku[marketplace_id=ATVPDKIKX0DER]#1.sku,Package Contains SKU Identifier,Product Identity,0,10,,,
263,2,model_number[marketplace_id=ATVPDKIKX0DER]#1.value,Model Number,Product Identity,1,11,,,[SERIES_NAME] [MODEL_NAME]
264,2,model_name[marketplace_id=ATVPDKIKX0DER][language_tag=en_US]#1.value,Model Name,Product Identity,1,12,,,[SERIES_NAME] [MODEL_NAME]
265,2,manufacturer[marketplace_id=ATVPDKIKX0DER][language_tag=en_US]#1.value,Manufacturer,Product Identity,1,13,,,Gig Gear Covers
266,2,unspsc_code[marketplace_id=ATVPDKIKX0DER]#1.value,UNSPSC Code,Product Identity,0,14,,,
267,2,national_stock_number[marketplace_id=ATVPDKIKX0DER]#1.value,National Stock Number,Product Identity,0,15,,,
268,2,skip_offer[marketplace_id=ATVPDKIKX0DER]#1.value,Skip Offer,Offer,0,16,,,
269,2,condition_type[marketplace_id=ATVPDKIKX0DER]#1.value,Item Condition,Offer,1,17,,New,
270,2,condition_note[marketplace_id=ATVPDKIKX0DER][language_tag=en_US]#1.value,Offer Condition Note,Offer,0,18,,,
271,2,list_price[marketplace_id=ATVPDKIKX0DER]#1.value,List Price,Offer,1,19,,,0
272,2,product_tax_code#1.value,Product Tax Code,Offer,0,20,,,
273,2,merchant_release_date[marketplace_id=ATVPDKIKX0DER]#1.value,Merchant Release Date,Offer,0,21,,,
274,2,max_order_quantity[marketplace_id=ATVPDKIKX0DER]#1.value,Maximum Order Quantity,Offer,0,22,,,
275,2,gift_options[marketplace_id=ATVPDKIKX0DER]#1.can_be_messaged,Offering Can Be Gift Messaged,Offer,0,23,,,
276,2,gift_options[marketplace_id=ATVPDKIKX0DER]#1.can_be_wrapped,Is Gift Wrap Available,Offer,0,24,,,
277,2,main_offer_image_locator[marketplace_id=ATVPDKIKX0DER]#1.media_location,Main Image Location,Offer,0,25,,,
278,2,other_offer_image_locator_1[marketplace_id=ATVPDKIKX0DER]#1.media_location,Other Image Location,Offer,0,26,,,
279,2,other_offer_image_locator_2[marketplace_id=ATVPDKIKX0DER]#1.media_location,Other Image Location,Offer,0,27,,,
280,2,other_offer_image_locator_3[marketplace_id=ATVPDKIKX0DER]#1.media_location,Other Image Location,Offer,0,28,,,
281,2,other_offer_image_locator_4[marketplace_id=ATVPDKIKX0DER]#1.media_location,Other Image Location,Offer,0,29,,,
282,2,other_offer_image_locator_5[marketplace_id=ATVPDKIKX0DER]#1.media_location,Other Image Location,Offer,0,30,,,
283,2,supplemental_condition_information[marketplace_id=ATVPDKIKX0DER]#1.accessories,Accessories,Offer,0,31,,,
284,2,supplemental_condition_information[marketplace_id=ATVPDKIKX0DER]#1.battery_life_percentage,Battery Life Percentage,Offer,0,32,,,
285,2,supplemental_condition_information[marketplace_id=ATVPDKIKX0DER]#1.cosmetic,Cosmetic,Offer,0,33,,,
286,2,supplemental_condition_information[marketplace_id=ATVPDKIKX0DER]#1.features#1,Features,Offer,0,34,,,
287,2,supplemental_condition_information[marketplace_id=ATVPDKIKX0DER]#1.features#2,Features,Offer,0,35,,,
288,2,supplemental_condition_information[marketplace_id=ATVPDKIKX0DER]#1.features#3,Features,Offer,0,36,,,
289,2,supplemental_condition_information[marketplace_id=ATVPDKIKX0DER]#1.features#4,Features,Offer,0,37,,,
290,2,supplemental_condition_information[marketplace_id=ATVPDKIKX0DER]#1.features#5,Features,Offer,0,38,,,
291,2,supplemental_condition_information[marketplace_id=ATVPDKIKX0DER]#1.functional_condition,Functional Condition,Offer,0,39,,,
292,2,supplemental_condition_information[marketplace_id=ATVPDKIKX0DER]#1.packaging,Packaging,Offer,0,40,,,
293,2,supplemental_condition_information[marketplace_id=ATVPDKIKX0DER]#1.source_type,Source Type,Offer,0,41,,,
294,2,fulfillment_availability#1.fulfillment_channel_code,Fulfillment Channel Code (US),"Offer (US) - (Sell on Amazon), (US) - (Amazon Business (B2B))",1,42,,DEFAULT,
295,2,fulfillment_availability#1.quantity,Quantity (US),"Offer (US) - (Sell on Amazon), (US) - (Amazon Business (B2B))",0,43,,99,
296,2,fulfillment_availability#1.lead_time_to_ship_max_days,Handling Time (US),"Offer (US) - (Sell on Amazon), (US) - (Amazon Business (B2B))",1,44,,3,
297,2,fulfillment_availability#1.restock_date,Restock Date (US),"Offer (US) - (Sell on Amazon), (US) - (Amazon Business (B2B))",0,45,,,
298,2,fulfillment_availability#1.is_inventory_available,Inventory Always Available (US),"Offer (US) - (Sell on Amazon), (US) - (Amazon Business (B2B))",1,46,,Enabled,
299,2,purchasable_offer[marketplace_id=ATVPDKIKX0DER][audience=ALL]#1.our_price#1.schedule#1.value_with_tax,"Your Price USD (Sell on Amazon, US)","Offer (US) - (Sell on Amazon), (US) - (Amazon Business (B2B))",1,47,,,
300,2,purchasable_offer[marketplace_id=ATVPDKIKX0DER][audience=ALL]#1.automated_pricing_merchandising_rule_plan#1.merchandising_rule.rule_id,"Pricing Rule (Sell on Amazon, US)","Offer (US) - (Sell on Amazon), (US) - (Amazon Business (B2B))",0,48,,,
301,2,purchasable_offer[marketplace_id=ATVPDKIKX0DER][audience=ALL]#1.minimum_seller_allowed_price#1.schedule#1.value_with_tax,"Minimum Seller Allowed Price (Sell on Amazon, US)","Offer (US) - (Sell on Amazon), (US) - (Amazon Business (B2B))",0,49,,,
302,2,purchasable_offer[marketplace_id=ATVPDKIKX0DER][audience=ALL]#1.maximum_seller_allowed_price#1.schedule#1.value_with_tax,"Maximum Seller Allowed Price (Sell on Amazon, US)","Offer (US) - (Sell on Amazon), (US) - (Amazon Business (B2B))",0,50,,,
303,2,purchasable_offer[marketplace_id=ATVPDKIKX0DER][audience=ALL]#1.discounted_price#1.schedule#1.value_with_tax,"Sale Price USD (Sell on Amazon, US)","Offer (US) - (Sell on Amazon), (US) - (Amazon Business (B2B))",0,51,,,
304,2,purchasable_offer[marketplace_id=ATVPDKIKX0DER][audience=ALL]#1.discounted_price#1.schedule#1.start_at,"Sale Start Date (Sell on Amazon, US)","Offer (US) - (Sell on Amazon), (US) - (Amazon Business (B2B))",0,52,,,
305,2,purchasable_offer[marketplace_id=ATVPDKIKX0DER][audience=ALL]#1.discounted_price#1.schedule#1.end_at,"Sale End Date (Sell on Amazon, US)","Offer (US) - (Sell on Amazon), (US) - (Amazon Business (B2B))",0,53,,,
306,2,purchasable_offer[marketplace_id=ATVPDKIKX0DER][audience=ALL]#1.start_at.value,"Offering Release Date (Sell on Amazon, US)","Offer (US) - (Sell on Amazon), (US) - (Amazon Business (B2B))",0,54,,,
